department_code	commune_name	priority_in_department	new_unique_places	new_relevant_places	total_unique_places	stale_query_count
91	Évry-Courcouronnes	1	13	13	13	0
91	Corbeil-Essonnes	2	14	13	27	0
91	Massy	3	67	66	94	0
91	Savigny-sur-Orge	4	51	42	145	0
91	Palaiseau	5	3	3	148	0
91	Athis-Mons	6	4	3	152	0
91	Sainte-Geneviève-des-Bois	7	1	1	153	0
91	Vigneux-sur-Seine	8	5	3	158	0
91	Ris-Orangis	9	4	2	162	0
91	Viry-Châtillon	10	6	1	168	0
91	Draveil	11	1	0	169	0
91	Yerres	12	1	1	170	0
91	Étampes	13	13	13	183	0
91	Grigny	14	1	1	184	0
91	Brétigny-sur-Orge	15	66	55	250	0
91	Les Ulis	16	10	10	260	0
91	Brunoy	17	7	5	267	0
91	Montgeron	18	1	0	268	0
91	Gif-sur-Yvette	19	4	4	272	0
91	Longjumeau	20	0	0	272	0
91	Saint-Michel-sur-Orge	21	3	0	275	0
91	Morsang-sur-Orge	22	0	0	275	0
91	Chilly-Mazarin	23	7	0	282	0
91	Juvisy-sur-Orge	24	25	8	307	0
91	Orsay	25	0	0	307	0
91	Mennecy	26	1	1	308	0
91	Verrières-le-Buisson	27	8	6	316	0
91	Morangis	28	0	0	316	0
91	Fleury-Mérogis	29	22	18	338	0
91	Saint-Pierre-du-Perray	30	20	16	358	0
91	Arpajon	31	5	3	363	0
91	Saint-Germain-lès-Arpajon	32	24	20	387	0
91	Épinay-sous-Sénart	33	6	4	393	0
91	Dourdan	34	13	4	406	0
91	Igny	35	0	0	406	0
91	Bondoufle	36	0	0	406	0
91	Épinay-sur-Orge	37	4	0	410	0
91	Villebon-sur-Yvette	38	0	0	410	0
91	Montlhéry	39	0	0	410	0
91	Crosne	40	0	0	410	0
91	Bures-sur-Yvette	41	0	0	410	0
91	Quincy-sous-Sénart	42	78	75	488	0
91	Breuillet	43	0	0	488	0
91	Marcoussis	44	3	0	491	0
91	Paray-Vieille-Poste	45	2	0	493	0
91	Ballancourt-sur-Essonne	46	3	3	496	0
91	La Ville-du-Bois	47	0	0	496	0
91	Boussy-Saint-Antoine	48	0	0	496	0
91	Linas	49	22	21	518	0
91	Saint-Germain-lès-Corbeil	50	3	1	521	0
91	Soisy-sur-Seine	51	2	2	523	0
91	Lisses	52	10	10	533	0
91	Villemoisson-sur-Orge	53	1	1	534	0
91	Égly	54	37	34	571	0
91	Wissous	55	2	0	573	0
91	Étréchy	56	7	3	580	0
91	Itteville	57	1	1	581	0
91	Saulx-les-Chartreux	58	0	0	581	0
91	Limours	59	0	0	581	0
91	Longpont-sur-Orge	60	3	0	584	0
91	Saintry-sur-Seine	61	0	0	584	0
91	Villabé	62	21	13	605	0
91	Marolles-en-Hurepoix	63	0	0	605	0
91	Lardy	64	0	0	605	0
91	Ollainville	65	0	0	605	0
91	Saint-Chéron	66	13	8	618	0
